"","X","country","year","hourly_compensation"
"146",146,"Finland",1985,8.30000019073486
"147",147,"France",1985,7.46999979019165
"148",148,"Greece",1985,3.65000009536743
"149",149,"Hong Kong, China",1985,1.73000001907349
"150",150,"Ireland",1985,6.21999979019165
"151",151,"Israel",1985,3.65000009536743
"152",152,"Italy",1985,7.55999994277954
"153",153,"Japan",1985,6.26999998092651
"154",154,"Korea, Rep.",1985,1.23000001907349
"155",155,"Luxembourg",1985,7.42999982833862
"156",156,"Mexico",1985,1.5900000333786
"157",157,"Netherlands",1985,8.72999954223633
"158",158,"New Zealand",1985,4.55000019073486
"159",159,"Norway",1985,10.4700002670288
"160",160,"Portugal",1985,1.48000001907349
"161",161,"Singapore",1985,2.54999995231628
"162",162,"Spain",1985,4.6399998664856
"163",163,"Sri Lanka",1985,0.28000000119209
"164",164,"Sweden",1985,9.57999992370606
"165",165,"Switzerland",1985,9.55000019073486
"166",166,"Taiwan",1985,1.50999999046326
"167",167,"United Kingdom",1985,6.21999979019165
"168",168,"United States",1985,12.710000038147
"169",169,"Australia",1986,8.55000019073486
"170",170,"Austria",1986,10.7200002670288
"171",171,"Belgium",1986,11.25
"172",172,"Canada",1986,11.3299999237061
"173",173,"Denmark",1986,10.9499998092651
"174",174,"Finland",1986,10.7700004577637
"175",175,"France",1986,10.210000038147
"176",176,"Greece",1986,4.05999994277954
"177",177,"Hong Kong, China",1986,1.87999999523163
"178",178,"Ireland",1986,8.39000034332275
"179",179,"Israel",1986,4.67000007629394
"180",180,"Italy",1986,10.3699998855591
"181",181,"Japan",1986,9.13000011444092
"182",182,"Korea, Rep.",1986,1.29999995231628
"183",183,"Luxembourg",1986,10.3199996948242
"184",184,"Mexico",1986,1.0900000333786
"185",185,"Netherlands",1986,12.210000038147
"186",186,"New Zealand",1986,5.59000015258789
"187",187,"Norway",1986,13.3599996566772
"188",188,"Portugal",1986,2
"189",189,"Singapore",1986,2.23000001907349
"190",190,"Spain",1986,6.21000003814697
"191",191,"Sri Lanka",1986,0.28999999165535
"192",192,"Sweden",1986,12.3100004196167
"193",193,"Switzerland",1986,13.6199998855591
"194",194,"Taiwan",1986,1.73000001907349
"195",195,"United Kingdom",1986,7.59000015258789
"196",196,"United States",1986,12.9899997711182
"197",197,"Australia",1987,9.52000045776367
"198",198,"Austria",1987,13.6499996185303
"199",199,"Belgium",1987,13.960000038147
"200",200,"Canada",1987,12.3000001907349
"201",201,"Denmark",1987,14.0900001525879
"202",202,"Finland",1987,13.4499998092651
"203",203,"France",1987,12.1899995803833
"204",204,"Greece",1987,4.59999990463257
"205",205,"Hong Kong, China",1987,2.09999990463257
"206",206,"Ireland",1987,9.72000026702881
"207",207,"Israel",1987,5.69000005722046
"208",208,"Italy",1987,12.8900003433228
"209",209,"Japan",1987,10.6800003051758
"210",210,"Korea, Rep.",1987,1.5900000333786
"211",211,"Luxembourg",1987,12.710000038147
"212",212,"Mexico",1987,1.03999996185303
"213",213,"Netherlands",1987,15.1400003433228
"214",214,"New Zealand",1987,6.86999988555908
"215",215,"Norway",1987,16.9300003051758
"216",216,"Portugal",1987,2.4300000667572
"217",217,"Singapore",1987,2.29999995231628
"218",218,"Spain",1987,7.57999992370606
"219",219,"Sri Lanka",1987,0.30000001192093
"220",220,"Sweden",1987,15
"221",221,"Switzerland",1987,16.8999996185303
"222",222,"Taiwan",1987,2.25999999046326
"223",223,"United Kingdom",1987,9.01000022888184
"224",224,"United States",1987,13.3000001907349
"225",225,"Australia",1988,11.4399995803833
"226",226,"Austria",1988,14.4899997711182
"227",227,"Belgium",1988,14.7200002670288
"228",228,"Canada",1988,13.7700004577637
"229",229,"Denmark",1988,15.0799999237061
"230",230,"Finland",1988,15.6499996185303
"231",231,"France",1988,12.8400001525879
"232",232,"Greece",1988,5.1399998664856
"233",233,"Hong Kong, China",1988,2.41000008583069
"234",234,"Ireland",1988,10.4300003051758
"235",235,"Israel",1988,6.88000011444092
"236",236,"Italy",1988,13.8500003814697
"237",237,"Japan",1988,12.5
"238",238,"Korea, Rep.",1988,2.20000004768372
"239",239,"Luxembourg",1988,13.5299997329712
"240",240,"Mexico",1988,1.24000000953674
"241",241,"Netherlands",1988,15.789999961853
"242",242,"New Zealand",1988,8.30000019073486
"243",243,"Norway",1988,18.6000003814697
"244",244,"Portugal",1988,2.6800000667572
"245",245,"Singapore",1988,2.74000000953674
"246",246,"Spain",1988,8.48999977111816
"247",247,"Sri Lanka",1988,0.31000000238419
"248",248,"Sweden",1988,16.6800003051758
"249",249,"Switzerland",1988,17.8099994659424
"250",250,"Taiwan",1988,2.79999995231628
"251",251,"United Kingdom",1988,10.5200004577637
"252",252,"United States",1988,13.6099996566772
"253",253,"Australia",1989,12.5
"254",254,"Austria",1989,14.1499996185303
"255",255,"Belgium",1989,14.3699998855591
"256",256,"Canada",1989,15.0600004196167
"257",257,"Denmark",1989,14.4700002670288
"258",258,"Finland",1989,16.7800006866455
"259",259,"France",1989,12.539999961853
"260",260,"Greece",1989,5.42000007629394
"261",261,"Hong Kong, China",1989,2.80999994277954
"262",262,"Ireland",1989,10.0100002288818
"263",263,"Israel",1989,6.90000009536743
"264",264,"Italy",1989,14.3400001525879
"265",265,"Japan",1989,12.3900003433228
"266",266,"Korea, Rep.",1989,3.16000008583069
"267",267,"Luxembourg",1989,13.2299995422363
"268",268,"Mexico",1989,1.41999995708466
"269",269,"Netherlands",1989,14.9300003051758
"270",270,"New Zealand",1989,7.92000007629394
"271",271,"Norway",1989,18.5
"272",272,"Portugal",1989,2.84999990463257
"273",273,"Singapore",1989,3.15000009536743
"274",274,"Spain",1989,8.89999961853027
"275",275,"Sri Lanka",1989,0.31000000238419
"276",276,"Sweden",1989,17.3700008392334
"277",277,"Switzerland",1989,16.5400009155273
"278",278,"Taiwan",1989,3.5
"279",279,"United Kingdom",1989,10.4099998474121
"280",280,"United States",1989,14.039999961853
"281",281,"Australia",1990,13.0900001525879
"282",282,"Austria",1990,17.7199993133545
"283",283,"Belgium",1990,17.8500003814697
"284",284,"Canada",1990,16.3299999237061
"285",285,"Denmark",1990,18.2900009155273
"286",286,"Finland",1990,20.8400001525879
"287",287,"France",1990,15.3500003814697
"288",288,"Greece",1990,6.69000005722046
"289",289,"Hong Kong, China",1990,3.22000002861023
"290",290,"Ireland",1990,12.1099996566772
"291",291,"Israel",1990,7.69000005722046
"292",292,"Italy",1990,17.6800003051758
"293",293,"Japan",1990,12.5900001525879
"294",294,"Korea, Rep.",1990,3.70000004768372
"295",295,"Luxembourg",1990,15.8999996185303
"296",296,"Mexico",1990,1.57000005245209
"297",297,"Netherlands",1990,17.9799995422363
"298",298,"New Zealand",1990,8.47999954223633
"299",299,"Norway",1990,21.7600002288818
"300",300,"Portugal",1990,3.60999989509582
"301",301,"Singapore",1990,3.77999997138977
"302",302,"Spain",1990,11.3000001907349
"303",303,"Sri Lanka",1990,0.34999999403954
"304",304,"Sweden",1990,20.75
"305",305,"Switzerland",1990,20.6299991607666
"306",306,"Taiwan",1990,3.91000008583069
"307",307,"United Kingdom",1990,12.460000038147
"308",308,"United States",1990,14.8100004196167
"309",309,"Australia",1991,13.6700000762939
"310",310,"Austria",1991,18.0400009155273
"311",311,"Belgium",1991,18.3999996185303
"312",312,"Canada",1991,17.6900005340576
"313",313,"Denmark",1991,18.5499992370605
"314",314,"Finland",1991,20.7299995422363
"315",315,"France",1991,15.5200004577637
